idx,type,stage,substage,monsteridx,monstercount,rewardidx,bgsprite
7001,0,1,1,4001,2,8001,dun_floor_1
7002,0,1,2,4001_4002,1_1,8001_8002,dun_floor_2
7003,1,1,3,,,,dun_floor_rest
7004,0,1,4,4002,3,8002,dun_floor_3
7005,0,1,5,4003,3,8003,dun_floor_4
7006,0,1,6,4003_4004,2_2,8003_8004,dun_floor_5
7007,0,1,7,4005,1,8005,dun_floor_5
7008,0,1,8,4006,1,8006,dun_floor_5
7009,1,1,9,,,,dun_floor_rest
7010,0,1,10,4007,1,8007,dun_floor_1
7011,0,2,1,4004_4005,2_2,8004_8005,dun_floor_1
7012,0,2,2,4005_4006,2_2,8005_8006,dun_floor_2
7013,0,2,3,4004_4005_4006,1_1_1,8004_8005_8006,dun_floor_2
7014,0,2,4,4006_4007,1_1,8006_8007,dun_floor_3
7015,1,2,5,,,,dun_floor_rest
7016,0,2,6,4007,2,8007,dun_floor_4
7017,0,2,7,4007_4008,1_1,8007_8008,dun_floor_4
7018,0,2,8,4008,2,8008,dun_floor_5
7019,1,2,9,,,,dun_floor_rest
7020,0,2,10,4008_4009,2_2,8008_8009,dun_floor_1
